Corral Bluffs palynological relative abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollen sample,ADB1703-01,ADB1703-02,ADB1703-03,ADB1802-02,ADB1703-04,ADB1802-03,ADB1802-04,ADB1703-04c,ADB1703-04b,ADB1802-05,ADB1802-06,ADB1701-00,ADB1701-0a,ADB1703-04d,ADB1703-04e,ADB1701-01,ADB1802-07,ADB1701-02,ADB1701-03,ADB1802-09,ADB1703-05,ADB1802-08,ADB1801-04,ADB1802-10,ADB1701-05b,ADB1701-05a,ADB1801-05,ADB1701-06,ADB1701-07,ADB1702-01,ADB1801-07,ADB1802-11,ADB1702-02,ADB1703-06,ADB1801-08,ADB1701-08,ADB1802-12,ADB1701-09,ADB1701-10,ADB1802-13,ADB1701-13,ADB1702-03,ADB1701-15,ADB1701-16,ADB1701-18,ADB1701-19,ADB1701-20,ADB1701-21,ADB1701-23,ADB1701-28,ADB1701-29,ADB1701-30,ADB1701-31,ADB1804-02,ADB1804-03,ADB1804-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classopollis sp.,1,,,3,3,,,,1,,,1,,4,3,,16,1,3,4,1,,1,3,3,,2,6,3,3,1,,,1,1,1,2,8,10,6,10,2,13,4,3,6,1,5,6,1,4,,1,32,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupanieidites inaequalis,2,6,15,5,1,,,,,,,2,1,,,1,1,3,1,,,20,,2,50,86,,,4,1,2,2,1,1,,,,,,,,,3,,,,,,,,1,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyathidites spp.,56,98,26,60,10,4,3,4,15,3,1,31,18,41,41,131,322,47,65,118,15,8,19,4,58,10,3,220,47,40,49,167,157,73,32,20,42,63,40,33,36,53,78,67,50,30,127,197,25,122,181,192,10,37,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycadopites spp.,4,,,,4,,,,1,,,5,4,1,,7,1,15,20,,,,,,38,2,,3,4,,2,,,,,6,,3,3,,,,1,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deltoidospora sp.,2,5,5,1,30,,1,18,11,3,3,14,4,16,7,14,15,8,24,73,8,29,20,3,9,12,18,6,2,18,13,4,2,6,23,2,7,4,6,9,7,4,4,2,6,6,1,4,7,6,10,7,23,22,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinoflafellates (all),44,69,,77,4,316,,46,244,450,265,,,119,13,2,31,25,57,6,,,156,19,29,36,103,12,54,14,125,,1,,30,,1,64,20,132,26,2,14,19,32,35,8,8,59,1,28,7,5,,46,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinisporites spp.,,2,212,,6,,,,,,,,,,,,,1,1,12,,,,,,,,2,4,,3,1,,17,,,13,8,5,3,1,,26,4,14,3,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ephedripites jansonius,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Ephedripites multipartitus,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Erdtmanipollis spp.,1,3,,,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
