Sample,Removed,Site,Site_grp,Taxa,Taxa_grp,Mineralogy,meter,Strat_height_other,lat,lng,AMNH_loc,Series,Stage,Formation,Biozone_macro,Biozone_nano,Biozone_foram,Dissolution,Secondary_growth,SEM_score,ppm Sr in powder (mg/g),ppt Mg in powder (mg/g),ppm Ba in powder (ug/g),ppm Mn in powder (ug/g),ppm Fe in powder (ug/g),Trace_score,Removed,Nreps_good,d13C_PDB,sd13,d18O_PDB,d18O_SMOW,sd18,D47_CDES90adj,intse47adj,lt95ci47,D48_CDES90adj,intse48adj,lt95ci48,Temp,intseT,Tmin,Tmax,lt95ciT,dw,intsedw,dwmin,dwmax,lt95cidw
TCC-BU-SB2,N,TrimCane,Avalon-TrimCane,Gryphaeostrea vomer,Oyster,,,,33.440737,-88.9084,3944,Paleocene,Danian,Clayton,,,,0,0,GOOD,0.313146062,0.882412826,229.8328134,226.3196793,207.3425321,,,3,2.618241197,0.019475257,-1.336336862,29.53235697,0.041844363,0.559143515,0.005103841,0.02201784,0.199803422,0.008953583,0.090131324,37.5,1.95,29.4,46.3,8.45,3.49116234,0.406395211,1.892364543,5.137715477,1.622675467
ESP-middle-exo-2,N,EllisSandPit,EllisSandPit,Exogyra,Oyster,,-0.5,,34.55245,-88.986997,3461,Upper Cretaceous,Maastrichtian,Owl Creek,,,,0,0,GOOD,1.299,1.46,3.077,17.49,215.027,,,3,-0.041849916,0.060987205,-0.671884361,30.21734769,0.107336903,0.584258183,0.010548172,0.02201784,0.277189723,0.052700813,0.090131324,28.3,3.7,20.9,36.3,7.7,1.59775325,0.833632969,-0.000382246,3.239283369,1.619832808
PROSANCORSP2,N,ProvSands,NA,Corbula sp.,Clam,,,Exo cost. General,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,2.626,0.142,18.998,16.418,222.166,,,3,-1.119125493,0.102812976,-0.797779772,30.08756086,0.046161277,0.605136774,0.012228343,0.02201784,0.288216505,0.044698818,0.090131324,21.2,4,14.3,28.7,7.2,0.039797729,0.870456861,-1.462057061,1.595172833,1.528614947
AVA-1.4-3525,N,Avalon,Avalon-TrimCane,oyster,Oyster,,-1.4,,33.455113,-88.849669,3525,Upper Cretaceous,Maastrichtian,Praire Bluff Chalk,Discoscaphites iris,CC26b,UC20dTP,0,0,GOOD,3.868278351,0.212402429,39.10041529,8.401156656,222.3672829,,,3,0.991560781,0.019188184,-1.460539325,29.4043154,0.056146241,0.597332449,0.016445077,0.02201784,0.159595927,0.016823767,0.090131324,23.8,5.5,16.7,31.5,7.4,0.683241212,1.180293579,-0.858463452,2.274756057,1.566609755
-0.05OYSTER,N,Malvern,Malvern,oyster,Oyster,,-0.05,,34.376944,-91.851667,3596,Upper Cretaceous,Maastrichtian,Arkadelphia,Discoscaphites iris,,,,,,1.345,0.968,17.58,280.208,224.918,,,4,0.6368118,0.123013127,-2.980041285,27.83784564,0.107752113,0.595415068,0.004728728,0.019068008,0.26487715,0.021392114,0.078056016,24.5,1.6,18.2,31.1,6.45,-0.69684046,0.430157123,-2.109525752,0.722029114,1.415777433
AVA+0.04OYSTER,N,Avalon,Avalon-TrimCane,Gryphaeostrea,Oyster,,0.04,,33.455113,-88.849669,3525,Paleocene,Danian,Clayton,,,P1a,,,,0.499420913,1.159938577,4.569174616,105.6964791,226.2949272,,,3,1.718195984,0.282881823,-2.66894566,28.15855723,0.073636668,0.558667755,0.002990248,0.02201784,0.244116881,0.009500241,0.090131324,37.7,1.15,29.6,46.5,8.45,2.189535339,0.286830597,0.56384254,3.863009888,1.649583674
PROSANNUCWHI,N,ProvSands,NA,Nuculana whitfieldi,Clam,,,Exo cost. General,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,3.381,0.189,28.403,3.725,231.168,,,3,-0.417947652,0.030669232,-1.050036796,29.82750657,0.041900998,0.59291006,0.011882606,0.02201784,0.23863842,0.020146958,0.090131324,25.3,4,18.1,33.1,7.5,0.621979629,0.844289777,-0.899522484,2.190728107,1.545125296
BRAZOS-0.8OYA,N,Brazos,Brazos,oyster,Oyster,,-0.8,,31.115717,-96.832697,3621,Upper Cretaceous,Maastrichtian,Corsicana,Discoscaphites iris,CC26b,CF1,0,0,GOOD,3.104131019,0.21747762,27.336475,73.12391322,246.6781203,,,3,1.375448699,0.037593988,-1.748079657,29.1078872,0.111487858,0.590061071,0.011884122,0.02201784,0.187981688,0.042010714,0.090131324,26.3,4.1,19,34.2,7.6,0.902319142,0.93370703,-0.710662192,2.56113841,1.635900301
ESP_DAN_HIGH_OY_1,N,EllisSandPit,EllisSandPit,oyster,Oyster,,0.85,,34.55245,-88.986997,3461,Paleocene,Danian,Clayton,,,"P0, P1a?",,,,1.18,1.591,6.484,39.383,256.17,,,3,2.526008014,0.055454676,-1.335314793,29.53341063,0.030900289,0.592257369,0.007852862,0.02201784,0.276982084,0.034907126,0.090131324,25.5,2.7,18.3,33.3,7.5,1.154693834,0.576521777,-0.367344926,2.724371514,1.54585822
Mal-MS-t30-biv-r,N,Malvern,Malvern,Bivalvia,Indet. Bivalvia,,3,,34.376944,-91.851667,3596,Paleocene,Danian,Clayton,,,,,,,3.086,0.212,43.7,55.568,257.684,,,3,0.625683136,0.023413414,-0.21606236,30.68725915,0.059349252,0.587032882,0.010724727,0.02201784,0.198582926,0.014579282,0.090131324,27.3,3.7,20,35.3,7.65,1.856809471,0.792020642,0.315621687,3.462125912,1.573252113
ESP+0.33_OY_3461,N,EllisSandPit,EllisSandPit,oyster,Oyster,,-0.37,,34.55245,-88.986997,3461,Upper Cretaceous,Maastrichtian,Owl Creek,,,,0,0,GOOD,1.308,1.079,4.162,48.389,266.676,,,3,-0.005657582,0.039126862,-2.710849963,28.11535767,0.019199959,0.590104273,0.010210282,0.02201784,0.258282294,0.029357671,0.090131324,26.3,3.5,19,34.1,7.55,-0.841736533,0.716051158,-2.34997082,0.692637484,1.521304152
BRAZOS-0.1OYSTER,N,Brazos,Brazos,oyster,Oyster,,-0.1,,31.115717,-96.832697,3621,Upper Cretaceous,Maastrichtian,Corsicana,Discoscaphites iris,CC26b,CF1,,,,1.189,1.922,16.776,251.162,270.756,,,3,0.823661232,0.02314358,-1.474427549,29.3899979,0.138941926,0.599343755,0.00474379,0.02201784,0.233941828,0.037890075,0.090131324,23.2,1.55,16.1,30.8,7.35,0.546318216,0.453443302,-1.081628426,2.204817759,1.643223092
+0.5PYCHODONT,N,Malvern,Malvern,Pycnodonte,Oyster,,0.5,,34.376944,-91.851667,3596,Paleocene,Danian,Clayton,,,,0,0,GOOD,1.133,2.463,15.072,1664.709,276.71,,,4,0.91935257,0.109513179,-3.129377207,27.68389374,0.152135433,0.5831967,0.005227073,0.019068008,0.299046321,0.043584417,0.078056016,28.7,1.8,22.2,35.6,6.7,-0.004031399,0.50424017,-1.465566119,1.47998258,1.472774349
-7NUCULANA,N,Malvern,Malvern,Nuculana,Clam,,-7,,34.376944,-91.851667,3596,Upper Cretaceous,Maastrichtian,Arkadelphia,Discoscaphites iris,,,,,,2.956,0.274,58.246,33.827,278.904,,,3,2.795554208,0.018350491,-0.512717207,30.3814347,0.044733416,0.59466939,0.013741571,0.02201784,0.232741456,0.024932868,0.090131324,24.7,4.65,17.5,32.5,7.5,1.816881425,0.990473834,0.272306873,3.409230626,1.568461877
1.45-3944,N,TrimCane,Avalon-TrimCane,Ostrea pulaskensis,Oyster,,1.45,,33.440737,-88.9084,3944,Paleocene,Danian,Clayton,,,P1c,,,,1.061,2.178,4.987,315.38,283.95,,,3,2.304469087,0.041649095,-0.654309394,30.2354659,0.121139091,0.60874436,0.011042256,0.02201784,0.183905241,0.012787221,0.090131324,20.1,3.55,13.2,27.4,7.1,0.724269985,0.862609656,-0.874727307,2.337670564,1.606198936
ESP-middle-exo-1,N,EllisSandPit,EllisSandPit,Exogyra,Oyster,,-0.5,,34.55245,-88.986997,3461,Upper Cretaceous,Maastrichtian,Owl Creek,,,,0,0,GOOD,1.47,2.009,3.643,32.272,289.97,,,4,1.487053403,0.033729692,-0.743265352,30.14376032,0.101935337,0.587833619,0.009031583,0.019068008,0.301802802,0.019969558,0.078056016,27.1,3.1,20.7,33.9,6.6,2.070547886,0.720502413,0.661791449,3.503357563,1.420783057
ESP_DAN_LOW_EXO,N,EllisSandPit,EllisSandPit,Exogyra,Oyster,,0.15,,34.55245,-88.986997,3461,Paleocene,Danian,Clayton,,,"P0, P1a?",,,,1.428,0.833,3.673,29.053,301.166,,,4,1.41567994,0.013345635,-1.358736756,29.50926469,0.016071728,0.583183618,0.021267468,0.019068008,0.268059216,0.047337311,0.078056016,28.7,7.5,22.2,35.6,6.7,1.772160287,1.50327157,0.440516125,3.125972154,1.342728014
BRAGGS4CORIWHOLE,N,Braggs,NA,Bivalvia,Indet. Bivalvia,,0,,32.006,-86.751,,,,,,,,0,1,GOOD,1.228,1.514,3.864,10.216,302.094,,,4,1.617201303,0.008246453,-3.007233613,27.8098128,0.052447247,0.591616768,0.011679389,0.019068008,0.215770596,0.011459426,0.078056016,25.8,3.95,19.5,32.5,6.5,-0.460839682,0.847652766,-1.80867998,0.912546136,1.360613058
ESP+0.5_EXO,N,EllisSandPit,EllisSandPit,Exogyra,Oyster,,-0.2,,34.55245,-88.986997,3461,Upper Cretaceous,Maastrichtian,Owl Creek,,,,,,,1.263,1.917,4.026,41.091,305.473,,,3,2.867414411,0.092621686,-0.525436459,30.3683223,0.123540911,0.607068907,0.003184277,0.02201784,0.245952282,0.029113993,0.090131324,20.6,1.05,13.7,28,7.15,0.958068036,0.339623658,-0.638520994,2.589074805,1.613797899
ESP-top-exo-1,N,EllisSandPit,EllisSandPit,Exogyra,Oyster,,-0.25,,34.55245,-88.986997,3461,Upper Cretaceous,Maastrichtian,Owl Creek,,,,0,0,GOOD,1.268,1.196,3.34,35.13,306.169,,,3,-3.674618223,0.247344248,-1.270971179,29.5997431,0.054911309,0.575796431,0.00745482,0.02201784,0.239956126,0.031486854,0.090131324,31.3,2.65,23.7,39.6,7.95,2.371388038,0.570195584,0.799366676,4.001563907,1.601098616
OC-35-15889,N,OwlCreek,OwlCreek,Nucula percrassa,Clam,,4.4,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,Discoscaphites iris,CC26b,"UC20d,TP",,,GOOD,4.527,0.227,11.926,27.236,307.987,,,3,3.924880179,0.014566465,-0.416819897,30.4802962,0.048993833,0.594846165,0.007139991,0.02201784,0.251782712,0.010416979,0.090131324,24.7,2.4,17.5,32.4,7.45,1.135428104,0.531885561,-0.399754156,2.698751574,1.549252865
ESP+0.17_EXO,N,EllisSandPit,EllisSandPit,Exogyra,Oyster,,-0.53,,34.55245,-88.986997,3461,Upper Cretaceous,Maastrichtian,Owl Creek,,,,0,1,GOOD,1.356,1.101,3.566,27.875,309.138,,,3,1.052172825,0.015775779,-0.129150695,30.77685726,0.087048695,0.593245833,0.007087074,0.02201784,0.238080567,0.013934545,0.090131324,25.2,2.4,18,33,7.5,1.524295989,0.567430635,-0.043347411,3.139368109,1.59135776
