Type,Study,Site,Sample,Depth,Depth type,Age (Ma),Age Frame,"Age (Ma, relative to KPg)",Sample Type,Species,d18O,Temperature (C),Delta_Temperature
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-6, 45-49 ",250.86,mbsf,66.2848,GTS 2012,-0.2448,Planktonic,Globigerinelloides  prairiehillensis,-0.48,13.76,2.1
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-6, 70-72 ",251.1,mbsf,66.3039,GTS 2012,-0.2639,Planktonic,Globigerinelloides  prairiehillensis,-0.2,12.51,0.85
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-6, 111-113 ",251.51,mbsf,66.3366,GTS 2012,-0.2966,Planktonic,Globigerinelloides  prairiehillensis,0.23,10.6,-1.07
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15X-6, 133-135",251.73,mbsf,66.3541,GTS 2012,-0.3141,Planktonic,Globigerinelloides  prairiehillensis,0.12,11.08,-0.58
d18O_foram,Wilf et al. (2003),ODP 690," 690C-15x-7, 6-8 ",251.96,mbsf,66.3725,GTS 2012,-0.3325,Planktonic,Globigerinelloides  prairiehillensis,0.04,11.44,-0.22
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-7, 27-29 6",252.17,mbsf,66.3892,GTS 2012,-0.3492,Planktonic,Globigerinelloides  prairiehillensis,0.08,11.26,-0.4
d18O_foram,Wilf et al. (2003),ODP 690,"90C-15x-cc, 3-5 ",252.29,mbsf,66.3994,GTS 2012,-0.3594,Planktonic,Globigerinelloides  prairiehillensis,0.12,11.08,-0.58
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 6-8 ",252.56,mbsf,66.4376,GTS 2012,-0.3976,Planktonic,Globigerinelloides  prairiehillensis,0.34,10.11,-1.55
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 19-21 ",252.69,mbsf,66.4559,GTS 2012,-0.4159,Planktonic,Globigerinelloides  prairiehillensis,0.54,9.22,-2.44
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 42-44 ",252.92,mbsf,66.4884,GTS 2012,-0.4484,Planktonic,Globigerinelloides  prairiehillensis,0.07,11.31,-0.36
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 42-44 ",252.92,mbsf,66.4884,GTS 2012,-0.4484,Planktonic,Globigerinelloides  prairiehillensis,0.14,11,-0.67
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 42-44 ",252.92,mbsf,66.4884,GTS 2012,-0.4484,Planktonic,Globigerinelloides  prairiehillensis,0.05,11.39,-0.27
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 67-69 ",253.17,mbsf,66.5238,GTS 2012,-0.4838,Planktonic,Globigerinelloides  prairiehillensis,0.29,10.33,-1.33
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 93-95 ",253.43,mbsf,66.5605,GTS 2012,-0.5205,Planktonic,Globigerinelloides  prairiehillensis,0.04,11.44,-0.22
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 106-108 ",253.56,mbsf,66.5789,GTS 2012,-0.5389,Planktonic,Globigerinelloides  prairiehillensis,0.16,10.91,-0.76
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 130-132 ",253.8,mbsf,66.6128,GTS 2012,-0.5728,Planktonic,Globigerinelloides  prairiehillensis,0.09,11.22,-0.44
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-2, 13-16 ",254.13,mbsf,66.6594,GTS 2012,-0.6194,Planktonic,Globigerinelloides  prairiehillensis,0.24,10.55,-1.11
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-2, 76-78 ",254.76,mbsf,66.7485,GTS 2012,-0.7085,Planktonic,Globigerinelloides  prairiehillensis,0.28,10.37,-1.29
d18O_foram,Wilf et al. (2003),ODP 690 ,"690C-15x-4, 73-75 ",248.13,mbsf,66.0671,GTS 2012,-0.0271,Planktonic,Heterohelix globulosa,0.58,9.05,0
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15-4x, 84-86 ",248.24,mbsf,66.0759,GTS 2012,-0.0359,Planktonic,Heterohelix globulosa,0.3,10.29,1.24
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-4, 106-108 ",248.46,mbsf,66.0934,GTS 2012,-0.0534,Planktonic,Heterohelix globulosa,0.29,10.33,1.28
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-4, 128-130 ",248.68,mbsf,66.111,GTS 2012,-0.071,Planktonic,Heterohelix globulosa,0.35,10.06,1.02
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-5, 25-28 ",249.15,mbsf,66.1484,GTS 2012,-0.1084,Planktonic,Heterohelix globulosa,0.07,11.31,2.26
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-5, 42-44 ",249.32,mbsf,66.162,GTS 2012,-0.122,Planktonic,Heterohelix globulosa,0.26,10.46,1.42
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-5, 76-78 ",249.66,mbsf,66.1891,GTS 2012,-0.1491,Planktonic,Heterohelix globulosa,0.23,10.6,1.55
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15X-6, 24-27 ",250.66,mbsf,66.2688,GTS 2012,-0.2288,Planktonic,Heterohelix globulosa,0.11,11.13,2.08
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-6, 45-49 ",250.86,mbsf,66.2848,GTS 2012,-0.2448,Planktonic,Heterohelix globulosa,0.1,11.17,2.13
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-6, 70-72 ",251.1,mbsf,66.3039,GTS 2012,-0.2639,Planktonic,Heterohelix globulosa,0.47,9.53,0.49
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-6, 111-113 ",251.51,mbsf,66.3366,GTS 2012,-0.2966,Planktonic,Heterohelix globulosa,0.39,9.89,0.84
d18O_foram,Wilf et al. (2003),ODP 690," 690C-15x-7, 6-8 ",251.96,mbsf,66.3725,GTS 2012,-0.3325,Planktonic,Heterohelix globulosa,0.55,9.18,0.13
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-7, 27-29 6",252.17,mbsf,66.3892,GTS 2012,-0.3492,Planktonic,Heterohelix globulosa,0.51,9.36,0.31
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-cc, 3-5 ",252.29,mbsf,66.3994,GTS 2012,-0.3594,Planktonic,Heterohelix globulosa,0.44,9.67,0.62
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 6-8 ",252.56,mbsf,66.4376,GTS 2012,-0.3976,Planktonic,Heterohelix globulosa,0.64,8.78,-0.26
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 19-21 ",252.69,mbsf,66.4559,GTS 2012,-0.4159,Planktonic,Heterohelix globulosa,0.67,8.65,-0.4
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 42-44 ",252.92,mbsf,66.4884,GTS 2012,-0.4484,Planktonic,Heterohelix globulosa,0.4,9.84,0.8
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 42-44 ",252.92,mbsf,66.4884,GTS 2012,-0.4484,Planktonic,Heterohelix globulosa,0.62,8.87,-0.18
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 42-44 ",252.92,mbsf,66.4884,GTS 2012,-0.4484,Planktonic,Heterohelix globulosa,0.51,9.36,0.31
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 67-69 ",253.17,mbsf,66.5238,GTS 2012,-0.4838,Planktonic,Heterohelix globulosa,0.4,9.84,0.8
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 93-95 ",253.43,mbsf,66.5605,GTS 2012,-0.5205,Planktonic,Heterohelix globulosa,0.56,9.14,0.09
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 106-108 ",253.56,mbsf,66.5789,GTS 2012,-0.5389,Planktonic,Heterohelix globulosa,0.56,9.12,0.07
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 130-132 ",253.8,mbsf,66.6128,GTS 2012,-0.5728,Planktonic,Heterohelix globulosa,0.65,8.74,-0.31
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-2, 13-16 ",254.13,mbsf,66.6594,GTS 2012,-0.6194,Planktonic,Heterohelix globulosa,0.55,9.18,0.13
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-2, 76-78 ",254.76,mbsf,66.7485,GTS 2012,-0.7085,Planktonic,Heterohelix globulosa,0.43,9.71,0.66
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-4, 73-75 ",248.13,mbsf,66.0671,GTS 2012,-0.0271,Benthic,Nuttallides truempyi,0.85,6.32,0
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15-4x, 84-86 ",248.24,mbsf,66.0759,GTS 2012,-0.0359,Benthic,Nuttallides truempyi,0.53,7.73,1.4
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-6, 70-72 ",251.1,mbsf,66.3039,GTS 2012,-0.2639,Benthic,Nuttallides truempyi,0.33,8.61,2.28
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-6, 111-113 ",251.51,mbsf,66.3366,GTS 2012,-0.2966,Benthic,Nuttallides truempyi,0.73,6.85,0.53
d18O_foram,Wilf et al. (2003),ODP 690,"690C-15x-7, 27-29 6",252.17,mbsf,66.3892,GTS 2012,-0.3492,Benthic,Nuttallides truempyi,0.55,7.64,1.32
d18O_foram,Wilf et al. (2003),ODP 690,"690C-16x-1, 42-44 ",252.92,mbsf,66.4884,GTS 2012,-0.4484,Benthic,Nuttallides truempyi,0.52,7.77,1.45
d18O_foram,,,,,,,,,,,,,
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-14X-4,39-41",238.15,mbsf,64.8212,GTS 2012,1.2188,Benthic,Nuttallides truempyi,0.44,8.13,1.81
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-14X-4,39-41",238.15,mbsf,64.8212,GTS 2012,1.2188,Benthic,Stensioina beccariiformis,0.39,8.58,2.26
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-14X-5,10-12",239.3,mbsf,64.902,GTS 2012,1.138,Benthic,Nuttallides truempyi,0.44,8.13,1.81
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-14X-5,10-12",239.3,mbsf,64.902,GTS 2012,1.138,Benthic,Stensioina beccariiformis,0.45,8.31,1.98
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-14X-5,110-112",240.3,mbsf,64.9722,GTS 2012,1.0678,Benthic,Nuttallides truempyi,0.34,8.58,2.25
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-14X-5,110-112",240.3,mbsf,64.9722,GTS 2012,1.0678,Benthic,Stensioina beccariiformis,0.54,7.89,1.56
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-14X-CC,15-17",240.83,mbsf,65.0094,GTS 2012,1.0306,Benthic,Nuttallides truempyi,0.34,8.58,2.26
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-14X-CC,15-17",240.83,mbsf,65.0094,GTS 2012,1.0306,Benthic,Stensioina beccariiformis,0.51,8.03,1.71
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-1,10-12",243,mbsf,65.1618,GTS 2012,0.8782,Benthic,Nuttallides truempyi,0.41,8.23,1.91
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-1,67-69",243.57,mbsf,65.2018,GTS 2012,0.8382,Benthic,Nuttallides truempyi,0.45,8.07,1.75
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-1,120-122",244.1,mbsf,65.239,GTS 2012,0.801,Benthic,Stensioina beccariiformis,0.43,8.41,2.08
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-2,17-19",244.57,mbsf,65.272,GTS 2012,0.768,Benthic,Nuttallides truempyi,0.27,8.85,2.53
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-2,67-69",245.07,mbsf,65.3071,GTS 2012,0.7329,Benthic,Nuttallides truempyi,0.53,7.72,1.4
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-2,117-119",245.57,mbsf,65.3422,GTS 2012,0.6978,Benthic,Nuttallides truempyi,0.43,8.15,1.83
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-2,140-142",245.81,mbsf,65.3591,GTS 2012,0.6809,Benthic,Nuttallides truempyi,0.24,8.99,2.67
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-3,16-18",246.06,mbsf,65.3766,GTS 2012,0.6634,Benthic,Nuttallides truempyi,0.47,8.01,1.68
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-3,36",246.24,mbsf,65.3893,GTS 2012,0.6507,Benthic,Stensioina beccariiformis,0.25,9.18,2.86
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-3,69",246.57,mbsf,65.4124,GTS 2012,0.6276,Benthic,Nuttallides truempyi,0.65,7.21,0.89
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-3,118",247.06,mbsf,65.4468,GTS 2012,0.5932,Benthic,Nuttallides truempyi,0.56,7.6,1.28
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-3,120-122",247.11,mbsf,65.4503,GTS 2012,0.5897,Benthic,Nuttallides truempyi,0.43,8.17,1.85
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-3,120-122",247.11,mbsf,65.4503,GTS 2012,0.5897,Benthic,Stensioina beccariiformis,0.15,9.62,3.3
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-4,2-4",247.42,mbsf,65.5113,GTS 2012,0.5288,Benthic,Nuttallides truempyi,0.6,7.41,1.08
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-4,2-4",247.42,mbsf,65.5113,GTS 2012,0.5288,Benthic,Stensioina beccariiformis,0.64,7.46,1.14
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-5,110-113",250.33,mbsf,66.2425,GTS 2012,-0.2025,Benthic,Nuttallides truempyi,0.01,10.02,3.7
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-6,14-16",250.54,mbsf,66.2593,GTS 2012,-0.2193,Benthic,Nuttallides truempyi,0.22,9.11,2.78
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-6,24-27",250.67,mbsf,66.2696,GTS 2012,-0.2296,Benthic,Nuttallides truempyi,0.01,10.02,3.7
d18O_foram,Alegret and Thomas (2013),ODP 690,"113-690C-15X-6,47-49",250.87,mbsf,66.2856,GTS 2012,-0.2456,Benthic,Nuttallides truempyi,0.1,9.62,3.3
