Event,Location,Latitude,Longitude,Sample ID,Depth rel [m],CaCO3 [%],TOC [%],TOC std dev,d13C_PDB,d13C_stdev,d18O_PDB,d18O_stdev,d13C_org_PDB,d13C_org_stdev,d15N_air,d15N_stdev
Loya,France,43.3806,-1.7556,LOYA-0-2,-0.01,65.71,0.22,0,1.46,,-3.59,,-24.06,0.13,,
Loya,France,43.3806,-1.7556,LOYA+0+3,0.015,65.85,0.24,0.01,1.3,,-5.41,,-24.61,0.08,,
Loya,France,43.3806,-1.7556,LOYA+3+5,0.04,29.64,,,0.58,,-2.72,,-24.69,0.03,,
Loya,France,43.3806,-1.7556,LOYA+5+8,0.065,51.88,0.26,0.01,0.67,,-2.59,,-24.31,0.06,,
Loya,France,43.3806,-1.7556,LOYA+8+11,0.095,54.7,0.26,0.02,0.35,,-2.75,,-24.42,0.02,,
Loya,France,43.3806,-1.7556,LOYA+11+14,0.125,50.3,0.26,0.01,0.8,,-2.62,,-24.3,0.09,,
Loya,France,43.3806,-1.7556,LOYA+14+18,0.16,53.54,0.27,0.02,0.65,,-2.82,,-24.31,0.04,,
Loya,France,43.3806,-1.7556,Loya+18+22,0.2,52.98,0.27,0.01,1.27,,-2.51,,-24.25,0.03,,
Loya,France,43.3806,-1.7556,Loya+22+26,0.24,64.19,0.27,0.014,1.27,,-2.51,,-24.25,0.032,,
Kulstirenden,Denmark,55.3431,12.4472,KU -1,-0.05,96.34,0.1,,1.33,0.036,-1.41,0.09,-26.41,0.906,4.91,0.437
Kulstirenden,Denmark,55.3431,12.4472,KU 0,-0.005,82.36,0.13,,1.35,0,-1.14,0,-25.26,0.409,6.96,2.667
Kulstirenden,Denmark,55.3431,12.4472,KU 1,0.005,12.67,0.37,,1.33,0.068,-1.61,0.224,-25.28,0.247,0.41,0.844
Kulstirenden,Denmark,55.3431,12.4472,KU b,0.011,20.76,1.55,,1.8,0,-1.06,0,-26.15,0.726,-2.28,1.644
Kulstirenden,Denmark,55.3431,12.4472,KU 2.1,0.0145,52.17,0.95,,1.88,0,-1.3,0,-27.02,0.198,-0.3,0.206
Kulstirenden,Denmark,55.3431,12.4472,KU 2.2,0.0195,55.63,0.92,,1.81,0,-1.15,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 2.3,0.0245,58.33,0.77,,1.74,0,-1.39,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 2.4,0.0295,63.13,0.63,,1.75,0.025,-1.22,0.067,-25.7,0.767,-0.51,0.149
Kulstirenden,Denmark,55.3431,12.4472,KU 2.5,0.0345,61.01,1.12,,1.63,0,-1.37,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 2.6,0.0395,63.3,1.18,,1.72,0,-1.09,0,-25.69,0.509,0.49,0.215
Kulstirenden,Denmark,55.3431,12.4472,KU 2.7,0.0445,62.9,1.32,,1.71,0,-1.22,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 2.8,0.0495,64.03,1.04,,1.7,0.035,-1.16,0.131,-25.61,0.933,1.68,0.23
Kulstirenden,Denmark,55.3431,12.4472,KU 2.9,0.053,64.71,1.01,,1.7,0,-1.03,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 3.1,0.0565,60.23,0.67,,1.62,0.013,-1.12,0.1,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 3.2,0.0615,65.47,0.61,,1.8,0,-0.87,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 3.3,0.0665,65.45,0.62,,1.57,0,-1.27,0,-24.58,0.04,5.16,0.581
Kulstirenden,Denmark,55.3431,12.4472,KU 3.4,0.0715,66.58,0.56,,1.71,0,-1.11,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 3.5,0.0765,66.72,0.63,,1.69,0,-1.09,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 3.6,0.0815,68.48,0.66,,1.62,0,-1.19,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 3.7,0.0865,68.34,0.65,,1.66,0.044,-1.16,0.037,-24.45,0.193,6.94,2.018
Kulstirenden,Denmark,55.3431,12.4472,KU 3.8,0.0915,71.37,0.61,,1.62,0,-1.08,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 3.9,0.0965,72.36,0.56,,1.64,0,-1.07,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 3.10,0.1015,72.05,0.55,,1.59,0,-0.96,0,-25.09,0.738,5.34,0.736
Kulstirenden,Denmark,55.3431,12.4472,KU 3.11,0.1065,73.16,0.49,,1.54,0,-1.17,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 4.1,0.1115,69.54,0.7,,1.65,0,-1.12,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 4.2,0.1165,72.26,0.66,,1.57,0,-1.23,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 4.3,0.1215,69.43,0.99,,1.68,0,-1.01,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 4.4,0.1265,72.3,0.63,,1.57,0,-1.21,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 4.5,0.1315,71.39,0.58,,1.65,0.014,-1,0.039,-26.22,0.631,6.02,1.612
