Type,Study,Site,Depth,Depth type,Age (Ma),Age Frame,Age (Ma relative to K-Pg),d18O,Temperature (deg C),?Temperature
,this study,IODP U1403,243.18,rCCSF,65.041,D.-T. et al. 2014,0.9812,-0.48,11.54,0.27
,this study,IODP U1403,243.18,rCCSF,65.041,D.-T. et al. 2014,0.9812,-0.65,12.32,1.06
,this study,IODP U1403,243.23,rCCSF,65.051,D.-T. et al. 2014,0.9713,-0.9,13.44,2.18
,this study,IODP U1403,243.28,rCCSF,65.061,D.-T. et al. 2014,0.9614,-0.78,12.89,1.63
,this study,IODP U1403,243.33,rCCSF,65.071,D.-T. et al. 2014,0.9515,-0.52,11.73,0.46
,this study,IODP U1403,243.33,rCCSF,65.071,D.-T. et al. 2014,0.9515,-0.9,13.44,2.18
,this study,IODP U1403,243.38,rCCSF,65.08,D.-T. et al. 2014,0.9415,-0.7,12.54,1.28
,this study,IODP U1403,243.43,rCCSF,65.09,D.-T. et al. 2014,0.9316,-1,13.9,2.63
,this study,IODP U1403,243.49,rCCSF,65.102,D.-T. et al. 2014,0.9197,-0.59,12.02,0.75
,this study,IODP U1403,243.53,rCCSF,65.11,D.-T. et al. 2014,0.9118,-0.63,12.21,0.94
,this study,IODP U1403,243.53,rCCSF,65.11,D.-T. et al. 2014,0.9118,-1,13.9,2.63
,this study,IODP U1403,243.58,rCCSF,65.12,D.-T. et al. 2014,0.9019,-0.57,11.94,0.68
,this study,IODP U1403,243.63,rCCSF,65.13,D.-T. et al. 2014,0.8919,-1.2,14.81,3.55
,this study,IODP U1403,243.68,rCCSF,65.14,D.-T. et al. 2014,0.882,-1.24,14.98,3.72
,this study,IODP U1403,243.73,rCCSF,65.15,D.-T. et al. 2014,0.8721,-1.2,14.81,3.55
,this study,IODP U1403,243.73,rCCSF,65.15,D.-T. et al. 2014,0.8721,-1.9,18.08,6.81
,this study,IODP U1403,243.78,rCCSF,65.16,D.-T. et al. 2014,0.8625,-1.01,13.96,2.7
,this study,IODP U1403,243.83,rCCSF,65.169,D.-T. et al. 2014,0.8528,-1,13.9,2.63
,this study,IODP U1403,243.88,rCCSF,65.179,D.-T. et al. 2014,0.8432,-1.13,14.51,3.25
,this study,IODP U1403,243.93,rCCSF,65.188,D.-T. et al. 2014,0.8336,-1.01,13.94,2.67
,this study,IODP U1403,243.93,rCCSF,65.188,D.-T. et al. 2014,0.8336,-1.2,14.81,3.55
,this study,IODP U1403,243.98,rCCSF,65.198,D.-T. et al. 2014,0.8239,-1.25,15.03,3.77
,this study,IODP U1403,244.03,rCCSF,65.208,D.-T. et al. 2014,0.8143,-0.86,13.27,2
,this study,IODP U1403,244.08,rCCSF,65.217,D.-T. et al. 2014,0.8046,-0.78,12.91,1.65
,this study,IODP U1403,244.08,rCCSF,65.217,D.-T. et al. 2014,0.8046,-0.73,12.69,1.43
,this study,IODP U1403,244.08,rCCSF,65.217,D.-T. et al. 2014,0.8046,-0.79,12.92,1.66
,this study,IODP U1403,244.13,rCCSF,65.227,D.-T. et al. 2014,0.795,-0.88,13.34,2.07
,this study,IODP U1403,244.13,rCCSF,65.227,D.-T. et al. 2014,0.795,-1.2,14.81,3.55
,this study,IODP U1403,244.18,rCCSF,65.237,D.-T. et al. 2014,0.7854,-1,13.91,2.65
,this study,IODP U1403,244.23,rCCSF,65.246,D.-T. et al. 2014,0.7757,-0.97,13.75,2.48
,this study,IODP U1403,244.28,rCCSF,65.256,D.-T. et al. 2014,0.7661,-1.13,14.48,3.22
,this study,IODP U1403,244.33,rCCSF,65.266,D.-T. et al. 2014,0.7565,-0.73,12.68,1.42
,this study,IODP U1403,244.33,rCCSF,65.266,D.-T. et al. 2014,0.7565,-1,13.9,2.63
,this study,IODP U1403,244.38,rCCSF,65.275,D.-T. et al. 2014,0.7468,-0.84,13.16,1.89
,this study,IODP U1403,244.38,rCCSF,65.275,D.-T. et al. 2014,0.7468,-0.86,13.25,1.99
,this study,IODP U1403,244.38,rCCSF,65.275,D.-T. et al. 2014,0.7468,-0.8,12.99,1.73
,this study,IODP U1403,244.43,rCCSF,65.285,D.-T. et al. 2014,0.7372,-0.93,13.57,2.31
,this study,IODP U1403,244.48,rCCSF,65.294,D.-T. et al. 2014,0.7276,-1.12,14.44,3.18
,this study,IODP U1403,244.53,rCCSF,65.304,D.-T. et al. 2014,0.7179,-0.8,13,1.74
,this study,IODP U1403,244.53,rCCSF,65.304,D.-T. et al. 2014,0.7179,-1.1,14.35,3.09
,this study,IODP U1403,244.58,rCCSF,65.314,D.-T. et al. 2014,0.7083,-0.52,11.74,0.47
,this study,IODP U1403,244.63,rCCSF,65.323,D.-T. et al. 2014,0.6987,-0.9,13.44,2.18
,this study,IODP U1403,244.68,rCCSF,65.333,D.-T. et al. 2014,0.689,-0.78,12.88,1.62
,this study,IODP U1403,244.68,rCCSF,65.333,D.-T. et al. 2014,0.689,-0.7,12.52,1.25
,this study,IODP U1403,244.68,rCCSF,65.333,D.-T. et al. 2014,0.689,-0.58,11.99,0.73
,this study,IODP U1403,244.73,rCCSF,65.343,D.-T. et al. 2014,0.6794,-0.52,11.72,0.46
,this study,IODP U1403,244.78,rCCSF,65.352,D.-T. et al. 2014,0.6698,-0.53,11.76,0.5
,this study,IODP U1403,244.83,rCCSF,65.362,D.-T. et al. 2014,0.6603,-0.57,11.95,0.68
,this study,IODP U1403,244.83,rCCSF,65.362,D.-T. et al. 2014,0.6603,-0.8,12.98,1.72
,this study,IODP U1403,244.88,rCCSF,65.371,D.-T. et al. 2014,0.6509,-0.6,12.08,0.82
,this study,IODP U1403,244.88,rCCSF,65.371,D.-T. et al. 2014,0.6509,-0.8,12.98,1.72
,this study,IODP U1403,244.88,rCCSF,65.371,D.-T. et al. 2014,0.6509,-0.8,12.98,1.72
,this study,IODP U1403,244.93,rCCSF,65.38,D.-T. et al. 2014,0.6415,-0.55,11.87,0.61
,this study,IODP U1403,244.98,rCCSF,65.39,D.-T. et al. 2014,0.6321,-0.65,12.31,1.05
,this study,IODP U1403,245.03,rCCSF,65.399,D.-T. et al. 2014,0.6227,-0.9,13.44,2.18
,this study,IODP U1403,245.03,rCCSF,65.399,D.-T. et al. 2014,0.6227,-0.6,12.08,0.82
,this study,IODP U1403,245.08,rCCSF,65.409,D.-T. et al. 2014,0.6133,-0.85,13.2,1.93
,this study,IODP U1403,245.13,rCCSF,65.418,D.-T. et al. 2014,0.6039,-0.68,12.46,1.2
,this study,IODP U1403,245.18,rCCSF,65.428,D.-T. et al. 2014,0.5945,-0.57,11.93,0.67
,this study,IODP U1403,245.23,rCCSF,65.437,D.-T. et al. 2014,0.5851,-0.51,11.65,0.39
,this study,IODP U1403,245.23,rCCSF,65.437,D.-T. et al. 2014,0.5851,-0.8,12.98,1.72
,this study,IODP U1403,245.28,rCCSF,65.446,D.-T. et al. 2014,0.5757,-0.7,12.51,1.25
,this study,IODP U1403,245.33,rCCSF,65.456,D.-T. et al. 2014,0.5663,-0.4,11.18,-0.08
,this study,IODP U1403,245.38,rCCSF,65.465,D.-T. et al. 2014,0.5569,-0.33,10.87,-0.39
,this study,IODP U1403,245.4,rCCSF,65.469,D.-T. et al. 2014,0.5531,-0.33,10.85,-0.41
,this study,IODP U1403,245.4,rCCSF,65.469,D.-T. et al. 2014,0.5531,-0.5,11.63,0.37
,this study,IODP U1403,245.42,rCCSF,65.473,D.-T. et al. 2014,0.5493,-0.48,11.55,0.29
,this study,IODP U1403,245.44,rCCSF,65.476,D.-T. et al. 2014,0.5456,-0.3,10.72,-0.54
,this study,IODP U1403,245.46,rCCSF,65.48,D.-T. et al. 2014,0.5418,-0.27,10.58,-0.69
,this study,IODP U1403,245.48,rCCSF,65.484,D.-T. et al. 2014,0.538,-0.17,10.17,-1.1
,this study,IODP U1403,245.48,rCCSF,65.484,D.-T. et al. 2014,0.538,-0.4,11.18,-0.08
,this study,IODP U1403,245.5,rCCSF,65.488,D.-T. et al. 2014,0.5343,-0.27,10.59,-0.67
,this study,IODP U1403,245.52,rCCSF,65.491,D.-T. et al. 2014,0.5305,-0.19,10.25,-1.01
,this study,IODP U1403,245.54,rCCSF,65.495,D.-T. et al. 2014,0.5267,-0.37,11.05,-0.21
,this study,IODP U1403,245.54,rCCSF,65.495,D.-T. et al. 2014,0.5267,-0.28,10.62,-0.64
,this study,IODP U1403,245.54,rCCSF,65.495,D.-T. et al. 2014,0.5267,-0.6,12.08,0.82
,this study,IODP U1403,245.56,rCCSF,65.499,D.-T. et al. 2014,0.523,-0.2,10.26,-1
,this study,IODP U1403,245.56,rCCSF,65.499,D.-T. et al. 2014,0.523,-0.4,11.18,-0.08
,this study,IODP U1403,245.58,rCCSF,65.503,D.-T. et al. 2014,0.5192,-0.52,11.73,0.47
,this study,IODP U1403,245.58,rCCSF,65.503,D.-T. et al. 2014,0.5192,-0.29,10.67,-0.59
,this study,IODP U1403,245.58,rCCSF,65.503,D.-T. et al. 2014,0.5192,-0.5,11.63,0.37
,this study,IODP U1403,245.6,rCCSF,65.507,D.-T. et al. 2014,0.5155,-0.38,11.09,-0.17
,this study,IODP U1403,245.6,rCCSF,65.507,D.-T. et al. 2014,0.5155,-0.35,10.96,-0.31
,this study,IODP U1403,245.6,rCCSF,65.507,D.-T. et al. 2014,0.5155,-0.5,11.63,0.37
,this study,IODP U1403,245.62,rCCSF,65.51,D.-T. et al. 2014,0.5117,-0.48,11.55,0.29
,this study,IODP U1403,245.62,rCCSF,65.51,D.-T. et al. 2014,0.5117,-0.33,10.88,-0.38
,this study,IODP U1403,245.62,rCCSF,65.51,D.-T. et al. 2014,0.5117,-0.5,11.63,0.37
,this study,IODP U1403,245.64,rCCSF,65.514,D.-T. et al. 2014,0.5079,-0.5,11.63,0.37
,this study,IODP U1403,245.66,rCCSF,65.518,D.-T. et al. 2014,0.5042,-0.48,11.55,0.28
,this study,IODP U1403,245.66,rCCSF,65.518,D.-T. et al. 2014,0.5042,-0.5,11.63,0.37
,this study,IODP U1403,245.68,rCCSF,65.522,D.-T. et al. 2014,0.5004,-0.49,11.57,0.31
,this study,IODP U1403,245.68,rCCSF,65.522,D.-T. et al. 2014,0.5004,-0.27,10.6,-0.66
,this study,IODP U1403,245.68,rCCSF,65.522,D.-T. et al. 2014,0.5004,-0.5,11.63,0.37
,this study,IODP U1403,245.7,rCCSF,65.525,D.-T. et al. 2014,0.4966,-0.22,10.38,-0.88
,this study,IODP U1403,245.7,rCCSF,65.525,D.-T. et al. 2014,0.4966,-0.37,11.06,-0.21
,this study,IODP U1403,245.7,rCCSF,65.525,D.-T. et al. 2014,0.4966,-0.8,12.98,1.72
,this study,IODP U1403,245.72,rCCSF,65.529,D.-T. et al. 2014,0.4929,-0.43,11.33,0.06
,this study,IODP U1403,245.72,rCCSF,65.529,D.-T. et al. 2014,0.4929,-0.4,11.18,-0.08
,this study,IODP U1403,245.74,rCCSF,65.533,D.-T. et al. 2014,0.4891,-0.37,11.04,-0.22
,this study,IODP U1403,245.74,rCCSF,65.533,D.-T. et al. 2014,0.4891,-0.7,12.53,1.27
,this study,IODP U1403,245.76,rCCSF,65.537,D.-T. et al. 2014,0.4853,-0.22,10.35,-0.91
,this study,IODP U1403,245.76,rCCSF,65.537,D.-T. et al. 2014,0.4853,-0.24,10.48,-0.78
,this study,IODP U1403,245.76,rCCSF,65.537,D.-T. et al. 2014,0.4853,-0.26,10.57,-0.69
,this study,IODP U1403,245.76,rCCSF,65.537,D.-T. et al. 2014,0.4853,-0.11,9.9,-1.36
,this study,IODP U1403,245.76,rCCSF,65.537,D.-T. et al. 2014,0.4853,-0.7,12.53,1.27
,this study,IODP U1403,245.78,rCCSF,65.54,D.-T. et al. 2014,0.4816,-0.4,11.18,-0.08
,this study,IODP U1403,245.78,rCCSF,65.54,D.-T. et al. 2014,0.4816,-0.13,9.99,-1.27
,this study,IODP U1403,245.78,rCCSF,65.54,D.-T. et al. 2014,0.4816,-0.19,10.25,-1.02
,this study,IODP U1403,245.8,rCCSF,65.544,D.-T. et al. 2014,0.4778,-0.3,10.73,-0.53
,this study,IODP U1403,245.8,rCCSF,65.544,D.-T. et al. 2014,0.4778,-0.18,10.18,-1.08
,this study,IODP U1403,245.82,rCCSF,65.548,D.-T. et al. 2014,0.4741,-0.31,10.76,-0.5
,this study,IODP U1403,245.82,rCCSF,65.548,D.-T. et al. 2014,0.4741,-0.4,11.18,-0.08
,this study,IODP U1403,245.82,rCCSF,65.548,D.-T. et al. 2014,0.4741,-0.19,10.24,-1.02
,this study,IODP U1403,245.84,rCCSF,65.552,D.-T. et al. 2014,0.4703,-0.3,10.73,-0.53
,this study,IODP U1403,245.84,rCCSF,65.552,D.-T. et al. 2014,0.4703,-0.14,10.02,-1.24
,this study,IODP U1403,245.86,rCCSF,65.555,D.-T. et al. 2014,0.4665,-0.07,9.7,-1.57
,this study,IODP U1403,245.86,rCCSF,65.555,D.-T. et al. 2014,0.4665,-0.2,10.28,-0.98
,this study,IODP U1403,245.88,rCCSF,65.559,D.-T. et al. 2014,0.4627,-0.2,10.28,-0.98
,this study,IODP U1403,245.9,rCCSF,65.563,D.-T. et al. 2014,0.4587,-0.1,9.84,-1.42
,this study,IODP U1403,245.9,rCCSF,65.563,D.-T. et al. 2014,0.4587,-0.2,10.28,-0.99
,this study,IODP U1403,245.92,rCCSF,65.567,D.-T. et al. 2014,0.4548,-0.3,10.73,-0.53
,this study,IODP U1403,245.92,rCCSF,65.567,D.-T. et al. 2014,0.4548,-0.28,10.65,-0.62
,this study,IODP U1403,245.94,rCCSF,65.571,D.-T. et al. 2014,0.4509,-0.3,10.73,-0.53
,this study,IODP U1403,245.94,rCCSF,65.571,D.-T. et al. 2014,0.4509,-0.01,9.43,-1.83
,this study,IODP U1403,245.96,rCCSF,65.575,D.-T. et al. 2014,0.4469,-0.3,10.73,-0.53
,this study,IODP U1403,245.98,rCCSF,65.579,D.-T. et al. 2014,0.443,-0.6,12.08,0.82
,this study,IODP U1403,245.98,rCCSF,65.579,D.-T. et al. 2014,0.443,-0.26,10.54,-0.73
,this study,IODP U1403,246,rCCSF,65.583,D.-T. et al. 2014,0.4391,-0.5,11.63,0.37
,this study,IODP U1403,246,rCCSF,65.583,D.-T. et al. 2014,0.4391,-0.14,10.03,-1.23
,this study,IODP U1403,246.02,rCCSF,65.587,D.-T. et al. 2014,0.4352,-0.16,10.11,-1.15
,this study,IODP U1403,246.02,rCCSF,65.587,D.-T. et al. 2014,0.4352,-0.3,10.73,-0.53
,this study,IODP U1403,246.04,rCCSF,65.591,D.-T. et al. 2014,0.4312,-0.2,10.28,-0.98
,this study,IODP U1403,246.06,rCCSF,65.595,D.-T. et al. 2014,0.4273,-0.4,11.18,-0.08
,this study,IODP U1403,246.06,rCCSF,65.595,D.-T. et al. 2014,0.4273,-0.2,10.29,-0.97
,this study,IODP U1403,246.08,rCCSF,65.599,D.-T. et al. 2014,0.4234,-0.25,10.49,-0.77
,this study,IODP U1403,246.1,rCCSF,65.603,D.-T. et al. 2014,0.4194,-0.29,10.69,-0.57
,this study,IODP U1403,246.14,rCCSF,65.61,D.-T. et al. 2014,0.4116,-0.31,10.79,-0.48
,this study,IODP U1403,246.16,rCCSF,65.614,D.-T. et al. 2014,0.4077,-0.17,10.13,-1.13
,this study,IODP U1403,246.18,rCCSF,65.618,D.-T. et al. 2014,0.4037,-0.32,10.8,-0.46
,this study,IODP U1403,246.18,rCCSF,65.618,D.-T. et al. 2014,0.4037,-0.29,10.68,-0.59
,this study,IODP U1403,246.18,rCCSF,65.618,D.-T. et al. 2014,0.4037,-0.18,10.19,-1.07
,this study,IODP U1403,246.22,rCCSF,65.626,D.-T. et al. 2014,0.3959,-0.32,10.82,-0.44
,this study,IODP U1403,246.22,rCCSF,65.626,D.-T. et al. 2014,0.3959,-0.42,11.27,0.01
,this study,IODP U1403,246.22,rCCSF,65.626,D.-T. et al. 2014,0.3959,-0.36,10.99,-0.28
,this study,IODP U1403,246.24,rCCSF,65.63,D.-T. et al. 2014,0.3919,-0.22,10.39,-0.87
,this study,IODP U1403,246.26,rCCSF,65.634,D.-T. et al. 2014,0.388,-0.12,9.94,-1.32
,this study,IODP U1403,246.3,rCCSF,65.642,D.-T. et al. 2014,0.3801,-0.15,10.08,-1.18
,this study,IODP U1403,246.32,rCCSF,65.646,D.-T. et al. 2014,0.3762,-0.06,9.67,-1.6
,this study,IODP U1403,246.34,rCCSF,65.65,D.-T. et al. 2014,0.3723,0.1,8.94,-2.32
,this study,IODP U1403,246.38,rCCSF,65.658,D.-T. et al. 2014,0.3644,-0.04,9.56,-1.7
,this study,IODP U1403,246.4,rCCSF,65.661,D.-T. et al. 2014,0.3605,-0.12,9.95,-1.32
,this study,IODP U1403,246.42,rCCSF,65.665,D.-T. et al. 2014,0.3566,0.05,9.19,-2.08
,this study,IODP U1403,246.46,rCCSF,65.673,D.-T. et al. 2014,0.3487,-0.11,9.87,-1.39
,this study,IODP U1403,246.48,rCCSF,65.677,D.-T. et al. 2014,0.3448,-0.28,10.63,-0.63
,this study,IODP U1403,246.48,rCCSF,65.677,D.-T. et al. 2014,0.3448,-0.18,10.18,-1.08
,this study,IODP U1403,246.52,rCCSF,65.685,D.-T. et al. 2014,0.3369,-0.27,10.58,-0.68
,this study,IODP U1403,246.54,rCCSF,65.689,D.-T. et al. 2014,0.333,-0.24,10.47,-0.8
,this study,IODP U1403,246.56,rCCSF,65.693,D.-T. et al. 2014,0.3291,-0.31,10.8,-0.47
,this study,IODP U1403,246.58,rCCSF,65.697,D.-T. et al. 2014,0.3251,-0.56,11.91,0.65
,this study,IODP U1403,246.6,rCCSF,65.701,D.-T. et al. 2014,0.3212,-0.36,11.01,-0.25
,this study,IODP U1403,246.62,rCCSF,65.705,D.-T. et al. 2014,0.3173,-0.44,11.34,0.08
,this study,IODP U1403,246.64,rCCSF,65.709,D.-T. et al. 2014,0.3133,-0.45,11.41,0.15
,this study,IODP U1403,246.66,rCCSF,65.713,D.-T. et al. 2014,0.3094,-0.5,11.65,0.39
,this study,IODP U1403,246.68,rCCSF,65.717,D.-T. et al. 2014,0.3055,-0.53,11.76,0.5
,this study,IODP U1403,246.7,rCCSF,65.72,D.-T. et al. 2014,0.3016,-0.58,12,0.74
,this study,IODP U1403,246.72,rCCSF,65.724,D.-T. et al. 2014,0.2976,-0.6,12.08,0.82
,this study,IODP U1403,246.74,rCCSF,65.728,D.-T. et al. 2014,0.2937,-0.6,12.09,0.82
,this study,IODP U1403,246.76,rCCSF,65.732,D.-T. et al. 2014,0.2898,-0.58,11.98,0.72
,this study,IODP U1403,246.78,rCCSF,65.736,D.-T. et al. 2014,0.2858,-0.71,12.56,1.29
,this study,IODP U1403,246.8,rCCSF,65.74,D.-T. et al. 2014,0.2819,-0.67,12.38,1.12
,this study,IODP U1403,246.82,rCCSF,65.744,D.-T. et al. 2014,0.278,-0.53,11.78,0.52
,this study,IODP U1403,246.84,rCCSF,65.748,D.-T. et al. 2014,0.2741,-0.62,12.18,0.92
,this study,IODP U1403,246.86,rCCSF,65.752,D.-T. et al. 2014,0.2701,-0.72,12.6,1.34
,this study,IODP U1403,246.88,rCCSF,65.756,D.-T. et al. 2014,0.2662,-0.34,10.89,-0.37
,this study,IODP U1403,246.9,rCCSF,65.76,D.-T. et al. 2014,0.2623,-0.48,11.53,0.27
,this study,IODP U1403,246.92,rCCSF,65.765,D.-T. et al. 2014,0.2565,-0.48,11.53,0.27
,this study,IODP U1403,246.94,rCCSF,65.772,D.-T. et al. 2014,0.25,-0.47,11.5,0.24
,this study,IODP U1403,246.96,rCCSF,65.779,D.-T. et al. 2014,0.2434,-0.44,11.34,0.08
,this study,IODP U1403,246.98,rCCSF,65.785,D.-T. et al. 2014,0.2368,-0.53,11.77,0.51
,this study,IODP U1403,247,rCCSF,65.792,D.-T. et al. 2014,0.2302,-0.53,11.76,0.5
,this study,IODP U1403,247.02,rCCSF,65.798,D.-T. et al. 2014,0.2236,-0.47,11.47,0.21
,this study,IODP U1403,247.04,rCCSF,65.805,D.-T. et al. 2014,0.2171,-0.57,11.95,0.68
,this study,IODP U1403,247.06,rCCSF,65.812,D.-T. et al. 2014,0.2105,-0.36,10.99,-0.27
,this study,IODP U1403,247.08,rCCSF,65.818,D.-T. et al. 2014,0.2039,-0.61,12.1,0.84
,this study,IODP U1403,247.08,rCCSF,65.818,D.-T. et al. 2014,0.2039,-0.39,11.13,-0.13
,this study,IODP U1403,247.1,rCCSF,65.825,D.-T. et al. 2014,0.1973,-0.52,11.7,0.44
,this study,IODP U1403,247.12,rCCSF,65.831,D.-T. et al. 2014,0.1908,-0.57,11.94,0.68
,this study,IODP U1403,247.14,rCCSF,65.838,D.-T. et al. 2014,0.1842,-0.63,12.19,0.93
,this study,IODP U1403,247.16,rCCSF,65.844,D.-T. et al. 2014,0.1776,-0.63,12.21,0.95
,this study,IODP U1403,247.18,rCCSF,65.851,D.-T. et al. 2014,0.171,-0.52,11.7,0.44
,this study,IODP U1403,247.2,rCCSF,65.858,D.-T. et al. 2014,0.1644,-0.55,11.86,0.59
,this study,IODP U1403,247.22,rCCSF,65.864,D.-T. et al. 2014,0.1579,-0.54,11.8,0.54
,this study,IODP U1403,247.24,rCCSF,65.871,D.-T. et al. 2014,0.1513,-0.58,12,0.74
,this study,IODP U1403,247.26,rCCSF,65.877,D.-T. et al. 2014,0.1447,-0.55,11.83,0.57
,this study,IODP U1403,247.28,rCCSF,65.884,D.-T. et al. 2014,0.1381,-0.48,11.55,0.29
,this study,IODP U1403,247.3,rCCSF,65.89,D.-T. et al. 2014,0.1316,-0.48,11.55,0.29
,this study,IODP U1403,247.32,rCCSF,65.897,D.-T. et al. 2014,0.125,-0.62,12.19,0.93
,this study,IODP U1403,247.34,rCCSF,65.904,D.-T. et al. 2014,0.1184,-0.4,11.18,-0.08
,this study,IODP U1403,247.36,rCCSF,65.91,D.-T. et al. 2014,0.1118,-0.43,11.32,0.05
,this study,IODP U1403,247.38,rCCSF,65.917,D.-T. et al. 2014,0.1052,-0.26,10.54,-0.72
,this study,IODP U1403,247.38,rCCSF,65.917,D.-T. et al. 2014,0.1052,-0.28,10.66,-0.6
,this study,IODP U1403,247.38,rCCSF,65.917,D.-T. et al. 2014,0.1052,-0.15,10.08,-1.18
,this study,IODP U1403,247.4,rCCSF,65.923,D.-T. et al. 2014,0.0987,-0.19,10.24,-1.02
,this study,IODP U1403,247.42,rCCSF,65.93,D.-T. et al. 2014,0.0921,-0.21,10.32,-0.94
,this study,IODP U1403,247.44,rCCSF,65.936,D.-T. et al. 2014,0.0855,-0.17,10.14,-1.12
,this study,IODP U1403,247.46,rCCSF,65.943,D.-T. et al. 2014,0.0789,-0.11,9.88,-1.38
,this study,IODP U1403,247.48,rCCSF,65.95,D.-T. et al. 2014,0.0724,-0.13,9.99,-1.28
,this study,IODP U1403,247.5,rCCSF,65.956,D.-T. et al. 2014,0.0658,-0.07,9.69,-1.58
,this study,IODP U1403,247.52,rCCSF,65.963,D.-T. et al. 2014,0.0592,-0.07,9.68,-1.58
,this study,IODP U1403,247.54,rCCSF,65.969,D.-T. et al. 2014,0.0526,0.03,9.26,-2
,this study,IODP U1403,247.56,rCCSF,65.976,D.-T. et al. 2014,0.046,-0.34,10.89,-0.37
,this study,IODP U1403,247.57,rCCSF,65.979,D.-T. et al. 2014,0.0428,-0.49,11.59,0.33
,this study,IODP U1403,247.6,rCCSF,65.989,D.-T. et al. 2014,0.0329,-0.84,13.16,1.89
,this study,IODP U1403,247.6,rCCSF,65.989,D.-T. et al. 2014,0.0329,-0.74,12.72,1.46
,this study,IODP U1403,247.62,rCCSF,65.996,D.-T. et al. 2014,0.0263,-0.09,9.79,-1.47
,this study,IODP U1403,247.64,rCCSF,66.002,D.-T. et al. 2014,0.0197,-1.04,14.09,2.83
,this study,IODP U1403,247.66,rCCSF,66.009,D.-T. et al. 2014,0.0132,-0.5,11.62,0.36
,this study,IODP U1403,247.68,rCCSF,66.015,D.-T. et al. 2014,0.0066,-0.73,12.66,1.4
,this study,IODP U1403,247.68,rCCSF,66.015,D.-T. et al. 2014,0.0066,-1.81,17.63,6.37
,this study,IODP U1403,247.7,rCCSF,66.022,D.-T. et al. 2014,0,-0.42,11.26,0
,this study,IODP U1403,247.72,rCCSF,66.024,D.-T. et al. 2014,-0.0021,-0.19,10.26,-1
,this study,IODP U1403,247.74,rCCSF,66.026,D.-T. et al. 2014,-0.0042,-0.21,10.32,-0.95
,this study,IODP U1403,247.76,rCCSF,66.028,D.-T. et al. 2014,-0.0063,0.04,9.21,-2.05
,this study,IODP U1403,247.78,rCCSF,66.03,D.-T. et al. 2014,-0.0084,-0.23,10.42,-0.85
,this study,IODP U1403,247.78,rCCSF,66.03,D.-T. et al. 2014,-0.0084,-0.75,12.75,1.49
,this study,IODP U1403,247.82,rCCSF,66.035,D.-T. et al. 2014,-0.0126,-0.9,13.42,2.16
,this study,IODP U1403,247.84,rCCSF,66.037,D.-T. et al. 2014,-0.0148,-0.44,11.36,0.1
,this study,IODP U1403,247.86,rCCSF,66.039,D.-T. et al. 2014,-0.0169,-0.5,11.64,0.38
,this study,IODP U1403,247.88,rCCSF,66.041,D.-T. et al. 2014,-0.019,-0.55,11.83,0.57
,this study,IODP U1403,247.88,rCCSF,66.041,D.-T. et al. 2014,-0.019,-0.75,12.75,1.49
,this study,IODP U1403,247.9,rCCSF,66.043,D.-T. et al. 2014,-0.0211,-0.44,11.35,0.08
,this study,IODP U1403,247.92,rCCSF,66.045,D.-T. et al. 2014,-0.0232,-0.31,10.76,-0.5
,this study,IODP U1403,247.94,rCCSF,66.047,D.-T. et al. 2014,-0.0253,-0.59,12.05,0.79
,this study,IODP U1403,247.96,rCCSF,66.049,D.-T. et al. 2014,-0.0274,-0.55,11.87,0.61
,this study,IODP U1403,247.98,rCCSF,66.052,D.-T. et al. 2014,-0.0295,-0.53,11.78,0.52
,this study,IODP U1403,247.98,rCCSF,66.052,D.-T. et al. 2014,-0.0295,-0.78,12.87,1.61
,this study,IODP U1403,248,rCCSF,66.054,D.-T. et al. 2014,-0.0316,-0.46,11.46,0.19
,this study,IODP U1403,248.08,rCCSF,66.062,D.-T. et al. 2014,-0.04,-0.56,11.89,0.63
,this study,IODP U1403,248.08,rCCSF,66.062,D.-T. et al. 2014,-0.04,-0.54,11.82,0.55
,this study,IODP U1403,248.18,rCCSF,66.073,D.-T. et al. 2014,-0.0506,-0.89,13.37,2.11
,this study,IODP U1403,248.28,rCCSF,66.083,D.-T. et al. 2014,-0.0611,-0.68,12.44,1.18
,this study,IODP U1403,248.38,rCCSF,66.094,D.-T. et al. 2014,-0.0717,-0.77,12.87,1.61
,this study,IODP U1403,248.48,rCCSF,66.104,D.-T. et al. 2014,-0.0822,-0.76,12.79,1.53
,this study,IODP U1403,248.58,rCCSF,66.115,D.-T. et al. 2014,-0.0927,-0.93,13.56,2.3
,this study,IODP U1403,248.6,rCCSF,66.117,D.-T. et al. 2014,-0.0949,-1.23,14.95,3.68
,this study,IODP U1403,248.68,rCCSF,66.125,D.-T. et al. 2014,-0.1033,-1,13.91,2.65
,this study,IODP U1403,248.7,rCCSF,66.127,D.-T. et al. 2014,-0.1054,-0.65,12.3,1.03
,this study,IODP U1403,248.78,rCCSF,66.136,D.-T. et al. 2014,-0.1138,-0.76,12.82,1.55
,this study,IODP U1403,248.88,rCCSF,66.146,D.-T. et al. 2014,-0.1244,-0.95,13.66,2.4
,this study,IODP U1403,248.9,rCCSF,66.148,D.-T. et al. 2014,-0.1265,-0.95,13.66,2.39
,this study,IODP U1403,248.98,rCCSF,66.157,D.-T. et al. 2014,-0.1349,-1.09,14.3,3.04
,this study,IODP U1403,249,rCCSF,66.159,D.-T. et al. 2014,-0.137,-1.68,17.02,5.76
