Type,Study,Site,Depth,Depth type,Age (Ma),Age Frame,Age (Ma relative to K-Pg),d18O,Temperature (deg C),?Temperature
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.25,mcd,66.4608,D.-T. et al. 2014,-0.4388,-0.165,10.13,0.73
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.28,mcd,66.4624,D.-T. et al. 2014,-0.4404,-0.056,9.64,0.25
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.31,mcd,66.4641,D.-T. et al. 2014,-0.4421,-0.207,10.32,0.92
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.34,mcd,66.4657,D.-T. et al. 2014,-0.4437,-0.032,9.54,0.14
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.37,mcd,66.4673,D.-T. et al. 2014,-0.4453,-0.017,9.47,0.07
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.4,mcd,66.4689,D.-T. et al. 2014,-0.4469,-0.217,10.36,0.96
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.43,mcd,66.4705,D.-T. et al. 2014,-0.4485,-0.084,9.77,0.37
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.46,mcd,66.4722,D.-T. et al. 2014,-0.4502,0.078,9.05,-0.34
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.49,mcd,66.4738,D.-T. et al. 2014,-0.4518,-0.123,9.94,0.55
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.52,mcd,66.4754,D.-T. et al. 2014,-0.4534,-0.122,9.94,0.54
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.55,mcd,66.477,D.-T. et al. 2014,-0.455,-0.17,10.15,0.76
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.58,mcd,66.4787,D.-T. et al. 2014,-0.4567,-0.046,9.6,0.2
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.61,mcd,66.4803,D.-T. et al. 2014,-0.4583,-0.234,10.44,1.04
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.64,mcd,66.4819,D.-T. et al. 2014,-0.4599,-0.015,9.46,0.07
